GAIN GB ALTAZ DPFU=0.35,0.35 POLY=0.971,1.24E-03,-1.31E-05 /
TSYS GB FT=1.0 INDEX='R1','R2','R3','R4' /
275 23:40.65 449.5 0.0 146.3 183.4 
275 23:41.15 451.8 0.0 147.0 184.7 
275 23:41.65 451.5 0.0 146.9 184.8 
275 23:42.15 450.4 0.0 146.6 184.1 
275 23:42.65 448.5 0.0 145.9 183.0 
275 23:43.15 448.7 0.0 146.0 183.4 
275 23:43.65 448.4 0.0 145.9 183.2 
275 23:44.15 447.8 0.0 145.7 182.7 
275 23:44.65 445.4 0.0 144.9 182.1 
275 23:45.15 444.6 0.0 144.6 181.8 
275 23:45.65 444.0 0.0 144.3 182.2 
275 23:46.15 443.6 0.0 144.3 182.1 
275 23:46.65 441.8 0.0 143.7 181.0 
275 23:47.15 437.3 0.0 141.8 179.6 
275 23:47.65 438.8 0.0 142.5 180.6 
275 23:48.15 437.4 0.0 141.8 179.2 
275 23:48.65 438.9 0.0 142.4 180.2 
275 23:49.15 438.5 0.0 142.2 179.6 
275 23:49.65 444.9 0.0 145.7 184.6 
275 23:58.82 485.8 0.0 156.8 196.5 
275 23:59.32 488.4 0.0 157.6 197.2 
275 23:59.82 490.1 0.0 158.2 198.1 
276 00:00.32 492.5 0.0 159.0 198.9 
276 00:00.82 490.7 0.0 158.4 197.7 
276 00:01.32 491.1 0.0 158.5 197.9 
276 00:01.82 492.7 0.0 158.9 199.0 
276 00:02.32 494.9 0.0 159.7 199.6 
276 00:02.82 494.7 0.0 159.6 198.6 
276 00:03.32 493.7 0.0 159.3 198.3 
276 00:03.82 493.1 0.0 159.1 198.6 
276 00:04.32 496.0 0.0 160.0 200.1 
276 00:04.82 494.9 0.0 159.7 199.6 
276 00:05.32 492.0 0.0 158.7 198.2 
276 00:07.20 470.4 0.0 151.6 192.2 
276 00:07.70 466.1 0.0 149.7 191.4 
276 00:08.20 469.9 0.0 150.5 190.7 
276 00:08.70 474.9 0.0 152.6 191.7 
276 00:09.20 475.3 0.0 152.7 192.6 
276 00:09.70 475.5 0.0 152.7 192.9 
276 00:10.20 475.0 0.0 152.6 192.5 
276 00:10.70 475.2 0.0 152.6 192.0 
276 00:11.20 474.6 0.0 152.5 191.5 
276 00:11.70 473.4 0.0 152.1 191.9 
276 00:12.20 472.7 0.0 151.9 191.5 
276 00:12.70 471.9 0.0 151.6 191.7 
276 00:13.20 471.7 0.0 151.6 191.6 
276 00:13.70 471.0 0.0 151.4 192.1 
276 00:14.20 470.3 0.0 151.1 191.6 
276 00:14.70 470.2 0.0 151.1 191.9 
276 00:15.20 472.2 0.0 151.6 192.4 
276 00:15.70 472.5 0.0 151.7 192.0 
276 00:16.20 471.8 0.0 151.5 191.4 
276 00:16.70 472.2 0.0 151.6 191.5 
276 00:17.20 472.4 0.0 151.7 192.0 
276 00:17.70 473.0 0.0 151.9 192.1 
276 00:18.20 472.9 0.0 151.9 191.2 
276 00:18.70 472.6 0.0 151.8 191.0 
276 00:19.20 472.8 0.0 151.8 191.5 
276 00:19.70 473.4 0.0 152.1 192.0 
276 00:20.20 473.0 0.0 151.9 191.3 
276 00:20.87 474.0 0.0 152.3 191.2 
276 00:21.37 474.3 0.0 152.4 191.5 
276 00:21.87 474.2 0.0 152.4 190.8 
276 00:22.37 474.4 0.0 152.5 192.0 
276 00:22.87 473.5 0.0 152.2 191.1 
276 00:23.37 473.3 0.0 152.1 191.3 
276 00:23.87 474.1 0.0 152.4 191.2 
276 00:24.37 473.8 0.0 152.3 190.8 
276 00:24.87 473.5 0.0 152.2 191.0 
276 00:25.37 471.9 0.0 151.7 190.8 
276 00:25.87 470.8 0.0 151.4 190.3 
276 00:26.37 471.0 0.0 151.5 190.7 
276 00:26.87 471.4 0.0 151.6 190.9 
276 00:27.37 471.3 0.0 151.6 191.3 
276 00:27.87 471.7 0.0 151.7 191.3 
276 00:28.37 471.4 0.0 151.6 190.1 
276 00:28.87 471.2 0.0 151.5 190.5 
276 00:29.37 470.2 0.0 151.2 190.7 
276 00:29.87 469.3 0.0 150.9 189.7 
276 00:30.37 468.6 0.0 150.6 188.7 
276 00:30.87 467.7 0.0 150.3 188.3 
276 00:31.37 467.5 0.0 150.2 188.8 
276 00:31.87 467.3 0.0 150.2 188.2 
276 00:32.37 466.8 0.0 150.0 188.3 
276 00:32.87 467.0 0.0 150.1 188.5 
276 00:33.37 467.0 0.0 150.1 188.1 
276 00:33.87 466.8 0.0 150.1 189.1 
276 00:34.37 467.7 0.0 150.3 189.3 
276 00:34.87 468.1 0.0 150.5 189.3 
276 00:35.37 478.8 0.0 157.3 196.5 
276 00:46.13 471.5 0.0 152.4 190.9 
276 00:46.63 473.5 0.0 153.2 192.5 
276 00:47.13 475.3 0.0 153.8 194.1 
276 00:47.63 474.8 0.0 153.6 192.7 
276 00:48.13 473.8 0.0 153.3 192.4 
276 00:48.63 472.2 0.0 152.8 192.3 
276 00:49.13 472.3 0.0 152.8 191.9 
276 00:49.63 471.7 0.0 152.6 191.7 
276 00:50.13 471.7 0.0 152.6 191.7 
276 01:04.33 443.1 0.0 143.5 183.8 
276 01:04.83 442.6 0.0 143.4 183.5 
276 01:05.33 452.0 0.0 150.5 190.2 
276 01:13.35 444.0 0.0 150.2 195.0 
276 01:13.85 443.0 0.0 149.9 195.5 
276 01:14.35 444.0 0.0 150.2 194.9 
276 01:14.85 444.3 0.0 150.3 196.1 
276 01:15.35 444.4 0.0 150.4 196.0 
276 01:15.85 444.9 0.0 150.5 196.0 
276 01:16.35 445.6 0.0 150.7 195.7 
276 01:16.85 445.9 0.0 150.8 196.3 
276 01:17.35 445.9 0.0 150.8 196.1 
276 01:17.85 446.0 0.0 150.8 196.3 
276 01:18.35 445.8 0.0 150.8 195.8 
276 01:18.85 445.6 0.0 150.7 196.2 
276 01:19.35 445.4 0.0 150.6 195.9 
276 01:19.85 445.1 0.0 150.5 196.0 
276 01:20.35 445.6 0.0 150.6 196.1 
276 01:20.65 443.9 0.0 150.8 194.8 
276 01:21.15 445.9 0.0 150.7 195.4 
276 01:21.65 446.7 0.0 151.0 196.6 
276 01:22.15 447.0 0.0 151.1 196.6 
276 01:22.65 446.0 0.0 150.8 196.3 
276 01:23.15 445.3 0.0 150.5 195.8 
276 01:23.65 444.9 0.0 150.4 195.8 
276 01:24.15 444.3 0.0 150.2 195.9 
276 01:24.65 444.4 0.0 150.2 196.1 
276 01:25.15 444.1 0.0 150.1 196.2 
276 01:25.65 444.6 0.0 150.2 196.7 
276 01:26.15 443.7 0.0 149.9 195.9 
276 01:26.65 443.5 0.0 149.9 196.0 
276 01:27.15 444.0 0.0 150.1 196.6 
276 01:27.65 445.3 0.0 150.5 197.0 
276 01:28.15 446.5 0.0 150.9 196.4 
276 01:28.65 447.6 0.0 151.3 196.2 
276 01:29.15 448.8 0.0 151.7 196.7 
276 01:29.65 448.5 0.0 151.6 196.4 
276 01:30.15 449.1 0.0 151.8 196.3 
276 01:30.65 448.9 0.0 151.8 196.9 
276 01:31.15 447.8 0.0 151.4 195.8 
276 01:31.65 446.7 0.0 151.1 195.9 
276 01:32.15 447.3 0.0 151.3 196.4 
276 01:32.65 447.4 0.0 151.3 197.0 
276 01:33.15 447.1 0.0 151.2 197.7 
276 01:33.65 447.5 0.0 151.3 197.0 
276 01:34.15 447.3 0.0 151.3 197.4 
276 01:34.65 448.2 0.0 151.6 196.9 
276 01:35.15 448.2 0.0 151.6 197.2 
276 01:35.77 449.0 0.0 151.8 197.2 
276 01:36.27 449.1 0.0 151.9 197.4 
276 01:36.77 448.6 0.0 151.7 197.0 
276 01:37.27 448.5 0.0 151.7 197.1 
276 01:37.77 448.9 0.0 151.8 196.7 
276 01:38.27 448.8 0.0 151.8 196.2 
276 01:38.77 448.9 0.0 151.8 196.6 
276 01:39.27 448.8 0.0 151.8 196.9 
276 01:39.77 448.8 0.0 151.8 196.5 
276 01:40.27 448.7 0.0 151.8 196.1 
276 01:40.77 448.5 0.0 151.7 195.9 
276 01:41.27 447.4 0.0 151.4 194.8 
276 01:41.77 447.4 0.0 151.4 195.4 
276 01:42.27 447.3 0.0 151.4 196.7 
276 01:42.77 448.2 0.0 151.7 196.2 
276 01:43.27 449.9 0.0 152.2 197.0 
276 01:43.77 450.1 0.0 152.3 196.7 
276 01:44.27 450.9 0.0 152.5 197.3 
276 01:44.77 451.4 0.0 152.7 197.2 
276 01:45.27 450.9 0.0 152.5 197.3 
276 01:45.77 450.8 0.0 152.4 196.9 
276 01:46.27 450.7 0.0 152.4 196.3 
276 01:46.77 450.7 0.0 152.4 196.4 
276 01:47.27 451.1 0.0 152.5 197.2 
276 01:47.77 452.1 0.0 152.9 197.1 
276 01:48.27 453.3 0.0 153.3 197.5 
276 01:48.77 454.4 0.0 153.6 197.8 
276 01:49.27 455.0 0.0 153.8 197.4 
276 01:49.77 454.9 0.0 153.8 197.7 
276 01:50.27 465.4 0.0 161.1 205.9 
276 02:06.57 464.3 0.0 156.6 202.2 
276 02:07.07 462.9 0.0 156.1 202.0 
276 02:15.42 463.5 0.0 156.3 199.2 
276 02:15.92 464.3 0.0 156.6 200.2 
276 02:16.42 464.7 0.0 156.7 200.8 
276 02:16.92 464.5 0.0 156.7 200.4 
276 02:17.42 465.3 0.0 156.9 201.3 
276 02:17.92 465.0 0.0 156.9 200.8 
276 02:18.42 464.7 0.0 156.8 201.2 
276 02:18.92 465.2 0.0 156.9 202.3 
276 02:19.42 464.2 0.0 156.7 201.0 
276 02:19.92 464.6 0.0 156.8 201.5 
276 02:20.42 475.8 0.0 166.1 211.1 
276 02:28.12 457.6 0.0 147.6 184.0 
276 02:28.62 458.5 0.0 147.8 184.5 
276 02:29.12 458.8 0.0 148.0 184.2 
276 02:29.62 458.3 0.0 147.8 183.9 
276 02:30.12 458.9 0.0 148.0 183.9 
276 02:30.62 459.0 0.0 148.0 184.0 
276 02:31.12 459.1 0.0 148.1 184.3 
276 02:31.62 458.9 0.0 148.0 185.3 
276 02:32.12 458.8 0.0 148.0 185.1 
276 02:32.62 459.0 0.0 148.0 184.5 
276 02:33.12 458.9 0.0 148.0 183.9 
276 02:33.62 459.2 0.0 148.1 183.6 
