! ----- Tsys information for BR -----
! Time range (MJD): 59327.63141204 59328.76770833
! Files searched for swiched power data include:
!   /home/vlba/metadata/switchedpower/br_2021_112_00_15_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_00_24_04.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_00_37_35.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_05_42_17.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_05_51_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_06_16_43.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_06_22_43.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_06_46_12.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_07_37_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_09_01_40.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_09_53_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_18_00_53.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_18_00_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_18_01_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_19_52_38.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_21_32_25.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_23_45_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_112_23_59_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_113_11_00_01.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_113_15_01_43.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_113_23_59_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_20_57.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_22_01.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_22_57.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_06_27_55.switched_power.xz
!   /home/vlba/metadata/switchedpower/br_2021_114_18_25_31.switched_power.xz
TSYS  BR  timeoff = 0.0  FT = 1.0 /
!
! BR C211A   3C84/0   113-15:09:14/113-15:11:54
!  1   7mm A RCP  1 U 689.75MHz  64M  43121.75MHz  5.78
!  2   7mm C LCP  2 U 689.75MHz  64M  43121.75MHz  9.13
113 15:09.517 153.39 117.35 ! 29.36
113 15:10.008 153.25 116.96 ! 29.43
113 15:10.550 153.24 116.27 ! 29.51
113 15:11.092 153.11 116.76 ! 29.59
113 15:11.642 152.11 116.77 ! 29.67
!
! BR C211A   3C84/0   113-15:11:59/113-15:14:40
113 15:12.275 153.48 115.52 ! 29.76
113 15:12.800 152.73 116.30 ! 29.83
113 15:13.308 152.20 116.32 ! 29.91
!  6   3mm D LCP  6 U 768.00MHz 128M  86332.00MHz  11.07
!  7   3mm B RCP  7 U 896.00MHz 128M  86460.00MHz  7.88
!  8   3mm D LCP  8 U 896.00MHz 128M  86460.00MHz  10.83
113 16:30.275 136.66 205.66 140.67 193.50 142.26 179.16 144.48 184.17 ! 12.64
113 16:30.817 136.18 205.63 140.08 193.12 141.57 178.93 143.91 184.36 ! 12.72
113 16:31.358 136.01 204.96 139.85 192.93 141.49 178.48 143.36 183.52 ! 12.80
113 16:31.908 135.89 204.80 139.91 192.40 141.05 178.15 143.42 182.91 ! 12.88
113 16:32.458 135.39 204.01 139.49 192.16 141.22 177.91 143.01 182.55 ! 12.96
113 16:33.000 135.21 203.74 139.32 192.02 140.71 177.61 142.78 182.10 ! 13.04
113 16:33.542 134.99 203.55 138.89 191.31 140.36 177.09 142.31 181.87 ! 13.12
113 16:34.092 134.61 203.29 138.40 190.83 139.69 176.91 142.21 181.55 ! 13.20
113 16:34.642 134.47 203.13 138.21 190.54 139.52 177.04 142.08 181.00 ! 13.28
113 16:35.183 134.35 202.58 138.05 190.14 139.29 176.53 141.92 180.57 ! 13.36
113 16:35.717 133.63 201.66 137.80 189.64 139.35 175.94 141.22 179.96 ! 13.44
!
! BR C211A   NGC1052/0   113-16:36:30/113-16:40:30
!  1   7mm A RCP  1 U 512.00MHz 128M  42976.00MHz  5.74
!  2   7mm C LCP  2 U 512.00MHz 128M  42976.00MHz  8.56
!  3   7mm A RCP  3 U 640.00MHz 128M  43104.00MHz  5.69
!  4   7mm C LCP  4 U 640.00MHz 128M  43104.00MHz  8.94
!  5   7mm A RCP  5 U 768.00MHz 128M  43232.00MHz  6.36
!  6   7mm C LCP  6 U 768.00MHz 128M  43232.00MHz  10.66
!  7   7mm A RCP  7 U 896.00MHz 128M  43360.00MHz  6.76
!  8   7mm C LCP  8 U 896.00MHz 128M  43360.00MHz  12.80
113 16:36.750 170.09 156.76 196.50 159.00 237.46 158.71 281.34 152.00 ! 13.59
113 16:37.250 169.73 156.66 196.24 158.59 237.19 158.40 280.95 151.60 ! 13.67
113 16:37.750 169.45 156.25 195.96 158.11 236.87 157.99 280.27 151.35 ! 13.74
113 16:38.250 169.29 155.84 195.44 157.78 235.78 157.86 279.63 150.84 ! 13.81
113 16:38.750 168.96 155.56 195.27 157.32 235.54 157.20 279.86 150.63 ! 13.88
113 16:39.250 168.24 155.23 194.33 157.08 235.26 156.98 278.08 150.24 ! 13.96
113 16:39.750 168.06 154.79 194.01 156.88 234.96 156.55 278.26 149.85 ! 14.03
113 16:40.242 166.92 153.89 193.38 155.70 234.62 155.67 278.13 149.22 ! 14.10
!
! BR C211A   NGC1052/0   113-16:44:59/113-16:50:59
!  1   3mm B RCP  1 U 512.00MHz 128M  86076.00MHz  8.69
!  2   3mm D LCP  2 U 512.00MHz 128M  86076.00MHz  12.18
!  3   3mm B RCP  3 U 640.00MHz 128M  86204.00MHz  8.23
!  4   3mm D LCP  4 U 640.00MHz 128M  86204.00MHz  11.65
!  5   3mm B RCP  5 U 768.00MHz 128M  86332.00MHz  7.90
!  6   3mm D LCP  6 U 768.00MHz 128M  86332.00MHz  11.07
!  7   3mm B RCP  7 U 896.00MHz 128M  86460.00MHz  7.88
!  8   3mm D LCP  8 U 896.00MHz 128M  86460.00MHz  10.83
113 16:45.275 129.51 195.85 132.98 184.00 134.64 170.42 136.40 174.31 ! 14.82
113 16:45.817 129.38 195.71 132.61 183.62 134.08 170.27 136.09 174.08 ! 14.90
113 16:46.358 129.01 195.10 132.63 183.31 134.23 170.02 136.14 173.32 ! 14.98
113 16:46.908 128.75 194.78 132.20 183.04 133.91 169.71 135.42 173.42 ! 15.06
113 16:47.458 128.59 194.55 132.19 182.90 133.48 169.56 135.46 173.05 ! 15.14
